review_priority,risk_score,id,name,coordinate_status,compass_eligible,longitude,latitude,booth_location,map_ref,baseline_change_m,verification_distance_m,issue_codes
medium,25,5754.2,Rick's Pizza,unverified,false,-93.1694244,44.9867388,West side of Cooper St. between Murphy & Lee avenues,3214-2482,430.4,,large_change_from_baseline|no_independent_verification
medium,25,11056.1,Roon's Savories,unverified,false,-93.175461431285,44.979495664557,West side of Liggett St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3249.1,Sausage Express,unverified,false,-93.170311162821,44.980465741266,North side of Dan Patch Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3769.1,Scotch Eggs,unverified,false,-93.175450142308,44.979513482014,West side of Liggett St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3276.1,Shanghai Henri's,unverified,false,-93.1691058,44.9780534,"At the International Bazaar, north section",1086-2637,178.4,,large_change_from_baseline|no_independent_verification
medium,25,1573.1,Shrimp Shack,unverified,false,-93.17120962726,44.978846993366,West side of Underwood St. between Carnes & Judson avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2084.2,Smokey's Grill,unverified,false,-93.1695298,44.9870282,South side of Murphy Ave. between Underwood & Cooper streets,3284-2458,146.2,,large_change_from_baseline|no_independent_verification
medium,25,5052.1,Solem's Cheese Curds,unverified,false,-93.1702056,44.9864309,East side of Underwood St. between Murphy & Lee avenues,3131-2330,97.3,,large_change_from_baseline|no_independent_verification
medium,25,5052.3,Solem's French Fries,unverified,false,-93.1702056,44.9864309,East side of Underwood St. between Murphy & Lee avenues,3131-2330,97.3,,large_change_from_baseline|no_independent_verification
medium,25,5052.2,Solem's Mini Donuts,unverified,false,-93.1702056,44.9864309,East side of Underwood St. between Murphy & Lee avenues,3131-2330,97.3,,large_change_from_baseline|no_independent_verification
medium,25,3386.1,Strawberries 'N Creme,unverified,false,-93.172099068085,44.983812984987,West side of Underwood St. at Wright Ave.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3276.2,Summit On A Stick,unverified,false,-93.1691058,44.9780534,"At the International Bazaar, north section",1086-2637,178.4,,large_change_from_baseline|no_independent_verification
medium,25,3408.1,Super Dog,unverified,false,-93.176094986179,44.979555170138,east side of Liggett Street between West Dan Patch and Carnes avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,2079.1,Sweet Martha's Cookie Jar,unverified,false,-93.173640357692,44.98006676588,North side of West Dan Patch Ave. between Liggett & Chambers streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3981.1,Sweet Martha's Cookie Jar,unverified,false,-93.171870286538,44.987169390239,West side of Underwood St. between Murphy & Lee avenues,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,3983.1,Sweet Martha's Cookie Jar,unverified,false,-93.170518503846,44.980706473942,South side of Carnes Ave. between Nelson & Underwood streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1509.1,Sweets & Treats,unverified,false,-93.170089029487,44.98229727677,North side of Dan Patch Ave. between Underwood & Cooper streets,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1509.2,Sweets & Treats,unverified,false,-93.1700536,44.9827569,At Kidway,2231-2399,379.5,,large_change_from_baseline|no_independent_verification
medium,25,792.4,Swine & Spuds,unverified,false,-93.17225460208,44.979240459781,"In the Lee & Rose Warner Coliseum, northeast corner",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1509.4,The Big Cheese Cheese Curds,unverified,false,-93.176812700641,44.979124115497,"West side of Liggett St. at Carnes Ave., just south of Mighty Midway",,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,1974.1,The Blue Ox Burger Bar,unverified,false,-93.172088763462,44.978105607253,Southeast corner of Judson Ave. & Clough St.,,0.0,,written_street_corridor_conflict|no_independent_verification
medium,25,244.1,The Dairy Bar,unverified,false,-93.1699973,44.9801218,"In the Food Building, south wall",1585-2438,115.1,,large_change_from_baseline|no_independent_verification
medium,25,2348.1,The Frontier,unverified,false,-93.175562628127,44.980525580547,South side of Carnes Ave. between Liggett & Chambers streets,,0.0,,written_street_corridor_conflict|no_independent_verification
